"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2022","1,559.68","1,559.68","1,559.68","1,559.68","","-0.60%"
"01/26/2022","1,569.09","1,569.09","1,569.09","1,569.09","","0.13%"
"01/25/2022","1,567.08","1,567.08","1,567.08","1,567.08","","3.18%"
"01/24/2022","1,518.83","1,518.83","1,518.83","1,518.83","","-3.22%"
"01/21/2022","1,569.34","1,569.34","1,569.34","1,569.34","","0.23%"
"01/20/2022","1,565.81","1,565.81","1,565.81","1,565.81","","1.07%"
"01/19/2022","1,549.16","1,549.16","1,549.16","1,549.16","","0.84%"
"01/18/2022","1,536.24","1,536.24","1,536.24","1,536.24","","-1.10%"
"01/17/2022","1,553.32","1,553.32","1,553.32","1,553.32","","-3.47%"
"01/14/2022","1,609.13","1,609.13","1,609.13","1,609.13","","-0.22%"
"01/13/2022","1,612.63","1,612.63","1,612.63","1,612.63","","-1.10%"
"01/12/2022","1,630.58","1,630.58","1,630.58","1,630.58","","1.03%"
"01/11/2022","1,613.99","1,613.99","1,613.99","1,613.99","","-1.27%"
"01/10/2022","1,634.72","1,634.72","1,634.72","1,634.72","","-1.50%"
"01/07/2022","1,659.63","1,659.63","1,659.63","1,659.63","","-0.45%"
"01/06/2022","1,667.21","1,667.21","1,667.21","1,667.21","","0.29%"
"01/05/2022","1,662.38","1,662.38","1,662.38","1,662.38","","-0.51%"
"01/04/2022","1,670.83","1,670.83","1,670.83","1,670.83","","1.83%"
"12/31/2021","1,640.79","1,640.79","1,640.79","1,640.79","","0.86%"
"12/30/2021","1,626.87","1,626.87","1,626.87","1,626.87","","0.12%"
"12/29/2021","1,624.91","1,624.91","1,624.91","1,624.91","","-0.76%"
"12/28/2021","1,637.36","1,637.36","1,637.36","1,637.36","","0.28%"
"12/27/2021","1,632.71","1,632.71","1,632.71","1,632.71","","0.75%"
"12/24/2021","1,620.61","1,620.61","1,620.61","1,620.61","","1.34%"
"12/23/2021","1,599.24","1,599.24","1,599.24","1,599.24","","-1.85%"
"12/22/2021","1,629.44","1,629.44","1,629.44","1,629.44","","-0.06%"
"12/21/2021","1,630.46","1,630.46","1,630.46","1,630.46","","0.32%"
"12/20/2021","1,625.27","1,625.27","1,625.27","1,625.27","","-0.24%"
"12/17/2021","1,629.24","1,629.24","1,629.24","1,629.24","","0.34%"
"12/16/2021","1,623.77","1,623.77","1,623.77","1,623.77","","-0.16%"
